timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1772364923331,6.6520505,-3.3790503,6.3630004,0.0,0.0,0.0,Standing
1772364923331,6.51105,-3.3720002,6.4690504,0.0,0.0,0.0,Standing
1772364923331,6.51105,-3.3720002,6.4690504,0.02035,-0.0149875,-0.031625,Standing
1772364923415,6.576,-3.24495,6.5140505,0.02035,-0.0149875,-0.031625,Standing
1772364923415,6.7099504,-3.4510503,6.6199503,0.02035,-0.0149875,-0.031625,Standing
1772364923415,6.7099504,-3.4510503,6.6199503,0.0809875,-0.0385,-0.0262625,Standing
1772364923415,6.5800505,-3.4510503,6.6529503,0.0809875,-0.0385,-0.0262625,Standing
1772364923415,6.4630504,-3.4650002,6.8040004,0.0809875,-0.0385,-0.0262625,Standing
1772364923416,6.4630504,-3.4650002,6.8040004,0.05115,-0.0405625,-0.0273625,Standing
1772364923416,6.5539503,-3.456,6.768,0.05115,-0.0405625,-0.0273625,Standing
1772364923416,6.5800505,-3.4320002,6.6940503,0.05115,-0.0405625,-0.0273625,Standing
1772364923416,6.5800505,-3.4320002,6.6940503,0.0053625,-0.0044,-0.0050875,Standing
1772364923416,6.6070504,-3.3700502,6.6270003,0.0053625,-0.0044,-0.0050875,Standing
1772364923416,6.6469502,-3.3070502,6.5020504,0.0053625,-0.0044,-0.0050875,Standing
1772364923416,6.6469502,-3.3070502,6.5020504,0.0011,0.0169125,0.0077,Standing
1772364923430,6.6160502,-3.31905,6.46395,0.0011,0.0169125,0.0077,Standing
1772364923430,6.6120005,-3.315,6.4090505,0.0011,0.0169125,0.0077,Standing
1772364923430,6.6120005,-3.315,6.4090505,0.0224125,0.0169125,0.0045375,Standing
1772364923450,6.6139503,-3.3070502,6.459,0.0224125,0.0169125,0.0045375,Standing
1772364923450,6.5950503,-3.3649502,6.49305,0.0224125,0.0169125,0.0045375,Standing
1772364923451,6.5950503,-3.3649502,6.49305,0.0682,0.0169125,-0.0050875,Standing
1772364923470,6.60195,-3.39105,6.4879503,0.0682,0.0169125,-0.0050875,Standing
1772364923470,6.6330004,-3.3409503,6.543,0.0682,0.0169125,-0.0050875,Standing
1772364923470,6.6330004,-3.3409503,6.543,0.1054625,0.0424875,0.0034375,Standing
1772364923491,6.6210003,-3.3700502,6.53595,0.1054625,0.0424875,0.0034375,Standing
1772364923492,6.3100505,-3.3360002,6.1260004,0.1054625,0.0424875,0.0034375,Standing
1772364923492,6.3100505,-3.3360002,6.1260004,0.0671,0.2013,0.0429,Standing
1772364923510,6.6829505,-3.3769503,6.7369504,0.0671,0.2013,0.0429,Standing
1772364923511,6.63105,-3.42,6.9570003,0.0671,0.2013,0.0429,Standing
1772364923511,6.63105,-3.42,6.9570003,0.025575,0.3716625,0.09405,Standing
1772364923530,6.70695,-3.41805,7.14405,0.025575,0.3716625,0.09405,Standing
1772364923530,6.3289504,-3.45405,6.7849503,0.025575,0.3716625,0.09405,Standing
1772364923530,6.3289504,-3.45405,6.7849503,0.0746625,0.1203125,0.016224999,Standing
1772364923550,6.195,-3.4129503,6.6439505,0.0746625,0.1203125,0.016224999,Standing
1772364923550,6.3750005,-3.3670502,6.87795,0.0746625,0.1203125,0.016224999,Standing
1772364923551,6.3750005,-3.3670502,6.87795,0.058575,0.1181125,0.0578875,Standing
1772364923570,6.3480005,-3.3430502,6.9619503,0.058575,0.1181125,0.0578875,Standing
1772364923570,6.13005,-3.315,6.7510505,0.058575,0.1181125,0.0578875,Standing
1772364923570,6.13005,-3.315,6.7510505,0.11935,-0.060775,0.018424999,Standing
1772364923589,6.16905,-3.35805,6.7819505,0.11935,-0.060775,0.018424999,Standing
1772364923590,6.30495,-3.3270001,6.8490005,0.11935,-0.060775,0.018424999,Standing
1772364923590,6.30495,-3.3270001,6.8490005,0.1172875,-0.08855,0.0323125,Standing
1772364923610,6.3840003,-3.3360002,6.768,0.1172875,-0.08855,0.0323125,Standing
1772364923610,6.5539503,-3.38595,6.9430504,0.1172875,-0.08855,0.0323125,Standing
1772364923610,6.5539503,-3.38595,6.9430504,0.08525,-0.0309375,0.033275,Standing
1772364923630,6.4939504,-3.4009502,6.7489505,0.08525,-0.0309375,0.033275,Standing
1772364923630,6.43905,-3.4420502,6.70305,0.08525,-0.0309375,0.033275,Standing
1772364923630,6.43905,-3.4420502,6.70305,0.050049998,-0.0257125,0.0204875,Standing
1772364923650,6.42,-3.4770002,6.6319504,0.050049998,-0.0257125,0.0204875,Standing
1772364923650,6.50895,-3.4099503,6.591,0.050049998,-0.0257125,0.0204875,Standing
1772364923650,6.50895,-3.4099503,6.591,0.0383625,0.0105875,0.034375,Standing
1772364923670,6.5950503,-3.3700502,6.5880003,0.0383625,0.0105875,0.034375,Standing
1772364923670,6.597,-3.42,6.636,0.0383625,0.0105875,0.034375,Standing
1772364923670,6.597,-3.42,6.636,0.025575,0.0308,0.033275,Standing
1772364923690,6.63105,-3.3940501,6.70305,0.025575,0.0308,0.033275,Standing
1772364923690,6.537,-3.3649502,6.70095,0.025575,0.0308,0.033275,Standing
1772364923690,6.537,-3.3649502,6.70095,0.0138875,0.0339625,0.013062499,Standing
1772364923710,6.4459505,-3.4420502,6.7660503,0.0138875,0.0339625,0.013062499,Standing
1772364923710,6.339,-3.4819503,6.7849503,0.0138875,0.0339625,0.013062499,Standing
1772364923710,6.339,-3.4819503,6.7849503,0.0064625,0.056375,0.002475,Standing
1772364923729,6.3169503,-3.42,6.77295,0.0064625,0.056375,0.002475,Standing
1772364923730,6.3580503,-3.3820503,6.7819505,0.0064625,0.056375,0.002475,Standing
1772364923730,6.3580503,-3.3820503,6.7819505,0.01705,0.0521125,-0.00935,Standing
1772364923750,6.35295,-3.31905,6.7560005,0.01705,0.0521125,-0.00935,Standing
1772364923750,6.40605,-3.2760003,6.735,0.01705,0.0521125,-0.00935,Standing
1772364923750,6.40605,-3.2760003,6.735,0.033,0.0339625,-0.0253,Standing
1772364923769,6.42,-3.20895,6.7369504,0.033,0.0339625,-0.0253,Standing
1772364923770,6.4219503,-3.2209501,6.7489505,0.033,0.0339625,-0.0253,Standing
1772364923770,6.4219503,-3.2209501,6.7489505,0.0457875,0.0308,-0.0529375,Standing
1772364923789,6.42495,-3.255,6.7060504,0.0457875,0.0308,-0.0529375,Standing
1772364923789,6.5209503,-3.2329502,6.7270503,0.0457875,0.0308,-0.0529375,Standing
1772364923790,6.5209503,-3.2329502,6.7270503,0.041525,0.021175,-0.0572,Standing
1772364923809,6.42705,-3.2280002,6.6000004,0.041525,0.021175,-0.0572,Standing
1772364923809,6.55695,-3.3340502,6.9240003,0.041525,0.021175,-0.0572,Standing
1772364923809,6.55695,-3.3340502,6.9240003,0.044825,0.0765875,-0.0572,Standing
1772364923829,6.432,-3.42705,6.747,0.044825,0.0765875,-0.0572,Standing
1772364923829,6.43905,-3.4800003,6.76095,0.044825,0.0765875,-0.0572,Standing
1772364923829,6.43905,-3.4800003,6.76095,0.0287375,-1.375E-4,-0.0625625,Standing
1772364923849,6.4489503,-3.4729502,6.8089504,0.0287375,-1.375E-4,-0.0625625,Standing
1772364923849,6.49905,-3.4129503,6.7870502,0.0287375,-1.375E-4,-0.0625625,Standing
1772364923849,6.49905,-3.4129503,6.7870502,-0.022275,0.0617375,-0.0188375,Standing
1772364923869,6.4080005,-3.3600001,6.71295,-0.022275,0.0617375,-0.0188375,Standing
1772364923869,6.3769503,-3.3360002,6.7489505,-0.022275,0.0617375,-0.0188375,Standing
1772364923869,6.3769503,-3.3360002,6.7489505,-0.059675,0.1043625,-0.0273625,Standing
1772364923889,6.3,-3.3720002,6.8760004,-0.059675,0.1043625,-0.0273625,Standing
1772364923889,6.2719502,-3.38895,6.636,-0.059675,0.1043625,-0.0273625,Standing
1772364923889,6.2719502,-3.38895,6.636,-0.0383625,0.0499125,-0.0710875,Standing
1772364923909,6.2959504,-3.4390502,6.7870502,-0.0383625,0.0499125,-0.0710875,Standing
1772364923909,6.3310504,-3.3310502,6.6580505,-0.0383625,0.0499125,-0.0710875,Standing
1772364923909,6.3310504,-3.3310502,6.6580505,-0.022275,0.056375,-0.1254,Standing
1772364923929,6.5539503,-3.3070502,6.7440004,-0.022275,0.056375,-0.1254,Standing
1772364923929,6.42,-3.3630002,6.7849503,-0.022275,0.056375,-0.1254,Standing
1772364923929,6.42,-3.3630002,6.7849503,-0.01485,0.090475,-0.1819125,Standing
1772364923949,6.2719502,-3.4300501,6.8160005,-0.01485,0.090475,-0.1819125,Standing
1772364923949,6.2640004,-3.3310502,6.83295,-0.01485,0.090475,-0.1819125,Standing
1772364923949,6.2640004,-3.3310502,6.83295,-0.0308,0.125675,-0.203225,Standing
1772364923969,6.4339504,-3.1330502,6.8260503,-0.0308,0.125675,-0.203225,Standing
1772364923969,6.387,-3.0270002,6.696,-0.0308,0.125675,-0.203225,Standing
1772364923969,6.387,-3.0270002,6.696,-0.042625,0.28325,-0.2223375,Standing
1772364923989,6.39405,-3.0580502,6.9760504,-0.042625,0.28325,-0.2223375,Standing
1772364923989,6.4219503,-3.0900002,7.0360503,-0.042625,0.28325,-0.2223375,Standing
1772364923989,6.4219503,-3.0900002,7.0360503,-0.0202125,0.2437875,-0.236225,Standing
1772364924008,6.4080005,-3.0229502,6.9690003,-0.0202125,0.2437875,-0.236225,Standing
1772364924008,6.29295,-3.0700502,6.83505,-0.0202125,0.2437875,-0.236225,Standing
1772364924009,6.29295,-3.0700502,6.83505,0.0127875,0.1384625,-0.267025,Standing
1772364924028,6.3430505,-3.1609502,6.8880005,0.0127875,0.1384625,-0.267025,Standing
1772364924029,6.432,-3.1950002,6.9859505,0.0127875,0.1384625,-0.267025,Standing
1772364924029,6.432,-3.1950002,6.9859505,0.0320375,0.1095875,-0.249975,Standing
1772364924049,6.4129505,-3.2329502,7.1029506,0.0320375,0.1095875,-0.249975,Standing
1772364924049,6.3769503,-3.3100502,7.0270505,0.0320375,0.1095875,-0.249975,Standing
1772364924049,6.3769503,-3.3100502,7.0270505,0.041525,0.0105875,-0.232925,Standing
1772364924069,6.4819503,-3.3820503,7.1179504,0.041525,0.0105875,-0.232925,Standing
1772364924069,6.504,-3.3739502,7.1940002,0.041525,0.0105875,-0.232925,Standing
1772364924069,6.504,-3.3739502,7.1940002,-0.01375,-0.028875,-0.236225,Standing
